x, y
0.005765645977550434, 0.004496070228734157
0.007557543914400505, 0.007716927474196485
0.009911199794911426, 0.01360836536119838
0.014777278569336598, 0.03206731576329219
0.023071193857359805, 0.08509956108219009
0.03294963096075485, 0.1620890756500832
0.0402233508643391, 0.25731885815569666
0.04643459607969469, 0.33935350025883054
0.05502099270951908, 0.5053403683387556
0.06455289348053617, 0.3762483136094513
0.07084571550894198, 0.28267914762883345
0.07890359694450043, 0.44427760539056804
0.08654445862184218, 0.6784453160706985
0.09368660429726677, 0.9723068684034496
0.10447541489351396, 1.2861911687799683
0.115868891731633, 0.864148048183649
0.12203539078022094, 0.5605118468246912
0.12912355582028273, 0.33938140870152755
0.12932621863811003, 0.1998735704767734
0.14004013432356313, 0.13585443007579517
0.18582593945697093, 0.16683596732163436
0.23779880397560346, 0.2563472890966605
0.29407388025008113, 0.3267021845197775
0.371047799764752, 0.39860839251449504
0.47139295929892966, 0.500048907030769
0.6085799226670855, 0.5997116192516011
0.8021104707498505, 0.7083781931297034
1.1151949549302143, 0.779794582971207
1.735998467056008, 0.8216652219173732
2.709816030376211, 0.9036849960850745
5.0688851362570695, 0.9374452818266159